,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
50,poutcome=3,0.0,,,,,,,
44,month=9,0.0,,,,,,,
40,month=5,0.0,,,,,,,
39,month=4,0.0,,,,,,,
33,contact=1,0.0,,,,,,,
22,education=0,0.0,,,,,,,
7,job=0,0.0,,,,,,,
9,job=2,0.0,,,,,,,
10,job=3,0.0,,,,,,,
11,job=4,0.0,,,,,,,
19,marital=0,0.0,,,,,,,
18,job=11,0.0,,,,,,,
14,job=7,0.0,,,,,,,
17,job=10,0.0,,,,,,,
20,marital=1,3.99137029177591e-06,,,,,,,
48,poutcome=1,0.00021316761361772282,,,,,,,
25,education=3,0.0003710672136489686,,,,,,,
24,education=2,0.002102852277271096,,,,,,,
28,housing=0,0.0023061278867038426,,,,,,,
4,campaign,0.002894412689126124,1.5169947692789691,8.242711803052615e-05,-0.0003120890393655897,8.242711803052615e-05,0.0003120890393655897,0.0,0.0
43,month=8,0.003005381578391927,,,,,,,
8,job=1,0.003569437525559473,,,,,,,
37,month=2,0.0040083683095594805,,,,,,,
26,default=0,0.004175015973605915,,,,,,,
35,month=0,0.004716432674920208,,,,,,,
38,month=3,0.005555396470909653,,,,,,,
21,marital=2,0.006066454621955016,,,,,,,
15,job=8,0.006700474930953847,,,,,,,
47,poutcome=0,0.0067700589627853955,,,,,,,
27,default=1,0.007082051283367222,,,,,,,
30,loan=0,0.007483456138362576,,,,,,,
16,job=9,0.008861860283362569,,,,,,,
12,job=5,0.009120715323588862,,,,,,,
13,job=6,0.009123998666973393,,,,,,,
29,housing=1,0.010096204429427243,,,,,,,
31,loan=1,0.012292880703007063,,,,,,,
46,month=11,0.013038422188564788,,,,,,,
32,contact=0,0.015520330784530613,,,,,,,
6,previous,0.01569022137093885,0.8827331202290069,-0.0009431036634019477,0.0013817736802106825,0.0009431036634019477,0.0013817736802106825,0.0,0.0
36,month=1,0.01674815244826748,,,,,,,
23,education=1,0.01705864137555932,,,,,,,
34,contact=2,0.025742716307636852,,,,,,,
1,balance,0.03392786925016902,1507.735143331651,0.0003496037571678097,0.0018417045647121987,0.003027104285093959,0.0058149401343085,0.0,0.0
41,month=6,0.03993317380596891,,,,,,,
5,pdays,0.048289625666352046,49.65976353513497,-0.0009158493806085473,0.0015487157471065578,0.001196668050775403,0.002001900347055722,0.0,0.0
45,month=10,0.05545096098077647,,,,,,,
42,month=7,0.060422029909693226,,,,,,,
2,day,0.06465212982452878,4.118716444409653,0.012507155060149266,0.0004889231033498735,0.014375062791127461,0.002855957806177688,0.0,0.0
49,poutcome=2,0.07689093877817472,,,,,,,
0,age,0.09133713196562744,5.2854589261348455,0.004054477461733048,0.0022830752744750775,0.007194520459523443,0.005573624457005938,0.0,0.0
3,duration,0.308777848415822,131.39825382839715,-0.03240706959903943,0.04364265992940295,0.033334987451831465,0.04719179657511945,0.010203126638689162,0.029264026008702232
